Tea_ID,Tea_Type,Region,Site,Plot,Lat,Lon,Elevation,Initial,Depth,Burial,Recovery,Days,Season,Season2,Snow_Days,Final,Label,Tea_init,Tea_final,Loss,Treatment,Contributor,Soil moisture,Additional information
AUS_76_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_late_Winter_1,-36.83058,147.32503,1880,2.189,8,17/03/16,04/01/17,293,Winter,Winter_Rooibos,179,1.5348,No,1.831,1.41126,0.23,None,Susanna Venn,,
AUS_77_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_late_Winter_1,-36.83058,147.32503,1880,2.283,8,17/03/16,04/01/17,293,Winter,Winter_Rooibos,179,1.5523,No,1.92,1.42876,0.26,None,Susanna Venn,,
AUS_78_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_late_Winter_1,-36.83058,147.32503,1880,2.208,8,17/03/16,04/01/17,293,Winter,Winter_Rooibos,179,1.4645,No,1.849,1.34096,0.27,None,Susanna Venn,,
AUS_79_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_late_Winter_2,-36.83058,147.32503,1880,2.226,8,17/03/16,04/01/17,293,Winter,Winter_Rooibos,179,1.4455,No,1.866,1.32196,0.29,None,Susanna Venn,,
AUS_80_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_late_Winter_2,-36.83058,147.32503,1880,2.275,8,17/03/16,04/01/17,293,Winter,Winter_Rooibos,179,1.605,No,1.912,1.48146,0.23,None,Susanna Venn,,
AUS_81_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_late_Winter_2,-36.83058,147.32503,1880,2.239,8,17/03/16,04/01/17,293,Winter,Winter_Rooibos,179,1.58,No,1.878,1.45646,0.22,None,Susanna Venn,,
AUS_82_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_late_Winter_2,-36.83058,147.32503,1880,2.325,8,17/03/16,04/01/17,293,Winter,Winter_Rooibos,179,1.6746,No,1.96,1.55106,0.21,None,Susanna Venn,,
AUS_83_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_late_Winter_2,-36.83058,147.32503,1880,2.277,8,17/03/16,04/01/17,293,Winter,Winter_Rooibos,179,1.6255,No,1.914,1.50196,0.22,None,Susanna Venn,,
AUS_84_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_late_Winter_2,-36.83058,147.32503,1880,2.28,8,17/03/16,04/01/17,293,Winter,Winter_Rooibos,179,NA,No,1.917,#VALUE!,#VALUE!,None,Susanna Venn,,
AUS_85_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_mid_Winter_1,-36.83058,147.32503,1880,2.277,8,17/03/16,04/01/17,293,Winter,Winter_Rooibos,179,1.4632,No,1.914,1.33966,0.3,None,Susanna Venn,,
AUS_86_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_mid_Winter_1,-36.83058,147.32503,1880,2.242,8,17/03/16,04/01/17,293,Winter,Winter_Rooibos,169,1.4785,No,1.881,1.35496,0.28,None,Susanna Venn,,
AUS_87_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_mid_Winter_1,-36.83058,147.32503,1880,2.22,8,17/03/16,04/01/17,293,Winter,Winter_Rooibos,169,1.498,No,1.86,1.37446,0.26,None,Susanna Venn,,
AUS_88_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_mid_Winter_1,-36.83058,147.32503,1880,2.25,8,17/03/16,04/01/17,293,Winter,Winter_Rooibos,169,1.4545,No,1.889,1.33096,0.3,None,Susanna Venn,,
AUS_89_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_mid_Winter_1,-36.83058,147.32503,1880,2.253,8,17/03/16,04/01/17,293,Winter,Winter_Rooibos,169,1.5078,No,1.892,1.38426,0.27,None,Susanna Venn,,
AUS_90_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_mid_Winter_1,-36.83058,147.32503,1880,2.244,8,17/03/16,04/01/17,293,Winter,Winter_Rooibos,169,1.5247,No,1.883,1.40116,0.26,None,Susanna Venn,,
